fluxID,yearFlux,contDayInYearFlux,dayInYearFlux,PindexFLUXnee,PindexFLUXneeE,PindexFLUXneegf,PindexFLUXle,PindexFLUXleE,PindexFLUXlegf,PindexFLUXgpp,PindexFLUXgppgf,PindexFLUXre,PindexFLUXregf,metID,yearMet,dayInYearMet,hourInYear,temp,par,vpd,rh,soilT,co2,precip,bioID,yearBio,dayInYearBio,PindexBioLAI,PindexBioLAIe,PindexBioLitterF,PindexBioLitterFe,PindexBioPhenology,PindexBioPhenologyE,PindexBioCw,PindexBioCwE,PindexBioCwInc,PindexBioCwIncE,PindexBioSoilTotC,PindexBioSoilTotCe
10,1997,1.2292,1,-9999,-9999,0.97878,-9999,-7.3342,0.000113,-9999,-9999,-9999,-9999,10,1997,1,5.5,-13.4,0,0.0585,-9999,0.5,362.18,0,10,1997,12,12,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
11,1997,1.25,1,-9999,-9999,0.97878,-9999,-7.3342,0.000124,-9999,-9999,-9999,-9999,11,1997,1,6,-13.4,0,0.0587,-9999,0.5,362.18,0,11,1997,13,13,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
12,1997,1.2708,1,-9999,-9999,0.97878,-9999,-7.3342,0.00012,-9999,-9999,-9999,-9999,12,1997,1,6.5,-13.3,0,0.0589,-9999,0.5,362.18,0,12,1997,14,14,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13,1997,1.2917,1,-9999,-9999,0.97878,-9999,-7.3342,0.000124,-9999,-9999,-9999,-9999,13,1997,1,7,-13.2,0,0.0596,-9999,0.5,362.18,0,13,1997,15,15,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
14,1997,1.3125,1,-9999,-9999,0.97878,-9999,-7.3342,0.000123,-9999,-9999,-9999,-9999,14,1997,1,7.5,-13.1,0,0.0603,-9999,0.5,362.18,0,14,1997,16,16,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
15,1997,1.3333,1,-9999,-9999,0.98317,-9999,-7.3342,0.000128,-9999,-9999,-9999,-9999,15,1997,1,8,-13.1,13.158,0.061,-9999,0.5,362.18,0,15,1997,17,17,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
16,1997,1.3542,1,-9999,-9999,0.94925,-9999,-7.3342,0.000111,-9999,-9999,-9999,-9999,16,1997,1,8.5,-13.2,41.667,0.0617,-9999,0.5,362.18,0,16,1997,18,18,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
17,1997,1.375,1,-9999,-9999,0.94175,-9999,-7.3342,0.000916,-9999,-9999,-9999,-9999,17,1997,1,9,-13.1,78.947,0.0624,-9999,0.5,362.18,0,17,1997,19,19,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
18,1997,1.3958,1,-9999,-9999,0.89905,-9999,-7.3342,0.000932,-9999,-9999,-9999,-9999,18,1997,1,9.5,-13,111.84,0.0631,-9999,0.5,362.18,0,18,1997,20,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
19,1997,1.4167,1,-9999,-9999,0.77453,-9999,-7.3342,0.001168,-9999,-9999,-9999,-9999,19,1997,1,10,-12.6,175.44,0.0638,-9999,0.5,362.18,0,19,1997,21,21,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
20,1997,1.4375,1,-9999,-9999,0.91545,-9999,-7.3342,0.000254,-9999,-9999,-9999,-9999,20,1997,1,10.5,-12.2,263.16,0.0646,-9999,0.5,362.18,0,20,1997,22,22,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
21,1997,1.4583,1,-9999,-9999,1.3811,-9999,-7.3342,0.000983,-9999,-9999,-9999,-9999,21,1997,1,11,-11.7,339.91,0.0653,-9999,0.5,362.18,0,21,1997,23,23,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
22,1997,1.4792,1,-9999,-9999,1.2341,-9999,-7.3342,0.000436,-9999,-9999,-9999,-9999,22,1997,1,11.5,-11.2,320.18,0.066,-9999,0.5,362.18,0,22,1997,24,24,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
23,1997,1.5,1,-9999,-9999,0.91545,-9999,-7.3342,0.000264,-9999,-9999,-9999,-9999,23,1997,1,12,-11.1,263.16,0.0667,-9999,0.5,362.18,0,23,1997,25,25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
24,1997,1.5208,1,-9999,-9999,0.88599,-9999,-7.3342,0.000912,-9999,-9999,-9999,-9999,24,1997,1,12.5,-11,241.23,0.0674,-9999,0.5,362.18,0,24,1997,26,26,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
25,1997,1.5417,1,-9999,-9999,0.91545,-9999,-7.3342,0.000313,-9999,-9999,-9999,-9999,25,1997,1,13,-10.8,265.35,0.0668,-9999,0.5,362.18,0,25,1997,27,27,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
26,1997,1.5625,1,-9999,-9999,0.80378,-9999,-7.3342,0.001317,-9999,-9999,-9999,-9999,26,1997,1,13.5,-10.8,208.33,0.0662,-9999,0.5,362.18,0,26,1997,28,28,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
27,1997,1.5833,1,-9999,-9999,0.85389,-9999,-7.3342,0.001269,-9999,-9999,-9999,-9999,27,1997,1,14,-11,195.18,0.0656,-9999,0.5,362.18,0,27,1997,29,29,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
28,1997,1.6042,1,-9999,-9999,0.90842,-9999,-7.3342,0.000793,-9999,-9999,-9999,-9999,28,1997,1,14.5,-11.1,83.333,0.065,-9999,0.5,362.18,0,28,1997,30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
29,1997,1.625,1,-9999,-9999,0.95443,-9999,-7.3342,0.000676,-9999,-9999,-9999,-9999,29,1997,1,15,-11.3,65.789,0.0644,-9999,0.5,362.18,0,29,1997,31,31,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
30,1997,1.6458,1,-9999,-9999,0.97008,-9999,-7.3342,0.000278,-9999,-9999,-9999,-9999,30,1997,1,15.5,-11.7,43.86,0.0638,-9999,0.5,362.18,0,30,1997,32,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
31,1997,1.6667,1,-9999,-9999,0.98317,-9999,-7.3342,0.0001,-9999,-9999,-9999,-9999,31,1997,1,16,-12,13.158,0.0632,-9999,0.5,362.18,0,31,1997,33,33,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
32,1997,1.6875,1,-9999,-9999,0.97878,-9999,-7.3342,0.000098,-9999,-9999,-9999,-9999,32,1997,1,16.5,-12.1,0,0.0626,-9999,0.5,362.18,0,32,1997,34,34,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
33,1997,1.7083,1,-9999,-9999,0.97878,-9999,-7.3342,0.000098,-9999,-9999,-9999,-9999,33,1997,1,17,-12.2,0,0.062,-9999,0.5,362.18,0,33,1997,35,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
34,1997,1.7292,1,-9999,-9999,0.97878,-9999,-7.3342,0.000098,-9999,-9999,-9999,-9999,34,1997,1,17.5,-12.4,0,0.0614,-9999,0.5,362.18,0,34,1997,36,36,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
35,1997,1.75,1,-9999,-9999,0.97878,-9999,-7.3342,0.000097,-9999,-9999,-9999,-9999,35,1997,1,18,-12.3,0,0.0608,-9999,0.5,362.18,0,35,1997,37,37,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
36,1997,1.7708,1,-9999,-9999,0.97878,-9999,-7.3342,0.000092,-9999,-9999,-9999,-9999,36,1997,1,18.5,-12.3,0,0.0602,-9999,0.5,362.18,0,36,1997,38,38,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
37,1997,1.7917,1,-9999,-9999,0.97878,-9999,-7.3342,0.000088,-9999,-9999,-9999,-9999,37,1997,1,19,-12.5,0,0.0606,-9999,0.5,362.18,0,37,1997,39,39,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
38,1997,1.8125,1,-9999,-9999,0.97878,-9999,-7.3342,0.000086,-9999,-9999,-9999,-9999,38,1997,1,19.5,-12.4,0,0.0611,-9999,0.5,362.18,0,38,1997,40,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
39,1997,1.8333,1,-9999,-9999,0.97878,-9999,-7.3342,0.000083,-9999,-9999,-9999,-9999,39,1997,1,20,-12.9,0,0.0616,-9999,0.5,362.18,0,39,1997,41,41,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
40,1997,1.8542,1,-9999,-9999,0.97878,-9999,-7.3342,0.000081,-9999,-9999,-9999,-9999,40,1997,1,20.5,-13.1,0,0.062,-9999,0.5,362.18,0,40,1997,42,42,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
41,1997,1.875,1,-9999,-9999,0.97878,-9999,-7.3342,0.000081,-9999,-9999,-9999,-9999,41,1997,1,21,-13.5,0,0.0625,-9999,0.5,362.18,0,41,1997,43,43,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
42,1997,1.8958,1,-9999,-9999,0.97878,-9999,-7.3342,0.000084,-9999,-9999,-9999,-9999,42,1997,1,21.5,-13,0,0.0629,-9999,0.5,362.18,0,42,1997,44,44,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
43,1997,1.9167,1,-9999,-9999,0.97878,-9999,-7.3342,0.000087,-9999,-9999,-9999,-9999,43,1997,1,22,-12.8,0,0.0634,-9999,0.5,362.18,0,43,1997,45,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
44,1997,1.9375,1,-9999,-9999,0.97878,-9999,-7.3342,0.00009,-9999,-9999,-9999,-9999,44,1997,1,22.5,-13.3,0,0.0639,-9999,0.5,362.18,0,44,1997,46,46,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
45,1997,1.9583,1,-9999,-9999,0.97878,-9999,-7.3342,0.000094,-9999,-9999,-9999,-9999,45,1997,1,23,-13.7,0,0.0643,-9999,0.5,362.18,0,45,1997,47,47,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
46,1997,1.9792,1,-9999,-9999,0.97878,-9999,-7.3342,0.000099,-9999,-9999,-9999,-9999,46,1997,1,23.5,-13.1,0,0.0648,-9999,0.5,362.18,0,46,1997,48,48,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47,1997,2,1,-9999,-9999,0.97878,-9999,-7.3342,0.000098,-9999,-9999,-9999,-9999,47,1997,1,24,-13.2,0,0.0653,-9999,0.5,362.18,0,47,1997,49,49,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
48,1997,2.0208,2,-9999,-9999,0.97878,-9999,-7.3342,0.000095,-9999,-9999,-9999,-9999,48,1997,2,0.5,-13.4,0,0.0657,-9999,0.5,362.18,0,48,1997,50,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
49,1997,2.0417,2,-9999,-9999,0.97878,-9999,-7.3342,0.000016,-9999,-9999,-9999,-9999,49,1997,2,1,-13.5,0,0.0653,-9999,0.5,362.18,0,49,1997,51,51,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
50,1997,2.0625,2,-9999,-9999,0.97878,-9999,-7.3342,0.000016,-9999,-9999,-9999,-9999,50,1997,2,1.5,-14.2,0,0.0649,-9999,0.5,362.18,0,50,1997,52,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
51,1997,2.0833,2,-9999,-9999,0.97878,-9999,-7.3342,0.000016,-9999,-9999,-9999,-9999,51,1997,2,2,-14.1,0,0.0646,-9999,0.5,362.18,0,51,1997,53,53,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
52,1997,2.1042,2,-9999,-9999,0.97878,-9999,-7.3342,0.000016,-9999,-9999,-9999,-9999,52,1997,2,2.5,-14.3,0,0.0642,-9999,0.5,362.18,0,52,1997,54,54,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
53,1997,2.125,2,-9999,-9999,0.97878,-9999,-7.3342,0.000015,-9999,-9999,-9999,-9999,53,1997,2,3,-14.4,0,0.0638,-9999,0.5,362.18,0,53,1997,55,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
54,1997,2.1458,2,-9999,-9999,0.97878,-9999,-7.3342,0.000015,-9999,-9999,-9999,-9999,54,1997,2,3.5,-14.7,0,0.0634,-9999,0.5,362.18,0,54,1997,56,56,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
55,1997,2.1667,2,-9999,-9999,0.97878,-9999,-7.3342,0.000015,-9999,-9999,-9999,-9999,55,1997,2,4,-15,0,0.063,-9999,0.5,362.18,0,55,1997,57,57,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
56,1997,2.1875,2,-9999,-9999,0.97878,-9999,-7.3342,0.000015,-9999,-9999,-9999,-9999,56,1997,2,4.5,-14.7,0,0.0626,-9999,0.5,362.18,0,56,1997,58,58,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
57,1997,2.2083,2,-9999,-9999,0.97878,-9999,-7.3342,0.000015,-9999,-9999,-9999,-9999,57,1997,2,5,-14.4,0,0.0622,-9999,0.5,362.18,0,57,1997,59,59,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
58,1997,2.2292,2,-9999,-9999,0.97878,-9999,-7.3342,0.000015,-9999,-9999,-9999,-9999,58,1997,2,5.5,-14.6,0,0.0618,-9999,0.5,362.18,0,58,1997,60,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
59,1997,2.25,2,-9999,-9999,0.97878,-9999,-7.3342,0.000004,-9999,-9999,-9999,-9999,59,1997,2,6,-15.1,0,0.0614,-9999,0.5,362.18,0,59,1997,61,61,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
60,1997,2.2708,2,-9999,-9999,0.97878,-9999,-7.3342,0,-9999,-9999,-9999,-9999,60,1997,2,6.5,-15.1,0,0.061,-9999,0.5,362.18,0,60,1997,62,62,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
61,1997,2.2917,2,-9999,-9999,1.0372,-9999,-7.3342,0,-9999,-9999,-9999,-9999,61,1997,2,7,-15.1,0,0.0616,-9999,0.5,362.18,0,61,1997,63,63,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
62,1997,2.3125,2,-9999,-9999,1.0372,-9999,-7.3342,0,-9999,-9999,-9999,-9999,62,1997,2,7.5,-15.4,0,0.0621,-9999,0.5,362.18,0,62,1997,64,64,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
63,1997,2.3333,2,-9999,-9999,1.0372,-9999,-7.3342,0,-9999,-9999,-9999,-9999,63,1997,2,8,-15.3,35.088,0.0627,-9999,0.5,362.18,0,63,1997,65,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
64,1997,2.3542,2,-9999,-9999,0.80409,-9999,-7.3342,0.000132,-9999,-9999,-9999,-9999,64,1997,2,8.5,-15.1,142.54,0.0632,-9999,0.5,362.18,0,64,1997,66,66,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
65,1997,2.375,2,-9999,-9999,0.80378,-9999,-7.3342,0.000181,-9999,-9999,-9999,-9999,65,1997,2,9,-14.6,203.95,0.0638,-9999,0.5,362.18,0,65,1997,67,67,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
66,1997,2.3958,2,-9999,-9999,1.386,-9999,-7.3342,0.000052,-9999,-9999,-9999,-9999,66,1997,2,9.5,-13.9,289.47,0.0644,-9999,0.5,362.18,0,66,1997,68,68,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
67,1997,2.4167,2,-9999,-9999,1.0299,-9999,-7.3342,0.000052,-9999,-9999,-9999,-9999,67,1997,2,10,-13.2,274.12,0.0649,-9999,0.5,362.18,0,67,1997,69,69,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
68,1997,2.4375,2,-9999,-9999,1.4385,-9999,-7.3342,0.00009,-9999,-9999,-9999,-9999,68,1997,2,10.5,-12.7,350.88,0.0655,-9999,0.5,362.18,0,68,1997,70,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
69,1997,2.4583,2,-9999,-9999,0.90979,-9999,-7.3342,0.000145,-9999,-9999,-9999,-9999,69,1997,2,11,-11.1,438.6,0.066,-9999,0.5,362.18,0,69,1997,71,71,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
70,1997,2.4792,2,-9999,-9999,0.90979,-9999,-7.3342,0.000145,-9999,-9999,-9999,-9999,70,1997,2,11.5,-8.7,434.21,0.0666,-9999,0.5,362.18,0,70,1997,72,72,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
71,1997,2.5,2,-9999,-9999,1.7654,-9999,-7.3342,0.000009,-9999,-9999,-9999,-9999,71,1997,2,12,-7.1,357.46,0.0672,-9999,0.5,362.18,0,71,1997,73,73,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
72,1997,2.5208,2,-9999,-9999,1.0204,-9999,-7.3342,0.00016,-9999,-9999,-9999,-9999,72,1997,2,12.5,-7,328.95,0.0677,-9999,0.5,362.18,0,72,1997,74,74,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
73,1997,2.5417,2,-9999,-9999,1.0204,-9999,-7.3342,0.000151,-9999,-9999,-9999,-9999,73,1997,2,13,-6.9,271.93,0.0673,-9999,0.5,362.18,0,73,1997,75,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
74,1997,2.5625,2,-9999,-9999,0.9733,-9999,-7.3342,0.000198,-9999,-9999,-9999,-9999,74,1997,2,13.5,-7.1,195.18,0.0668,-9999,0.5,362.18,0,74,1997,76,76,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
75,1997,2.5833,2,-9999,-9999,0.85367,-9999,-7.3342,0.000173,-9999,-9999,-9999,-9999,75,1997,2,14,-7.1,157.89,0.0664,-9999,0.5,362.18,0,75,1997,77,77,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
76,1997,2.6042,2,-9999,-9999,1.3197,-9999,-7.3342,0.000069,-9999,-9999,-9999,-9999,76,1997,2,14.5,-7.7,109.65,0.066,-9999,0.5,362.18,0,76,1997,78,78,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
77,1997,2.625,2,-9999,-9999,1.3197,-9999,-7.3342,0.000069,-9999,-9999,-9999,-9999,77,1997,2,15,-8.2,96.491,0.0655,-9999,0.5,362.18,0,77,1997,79,79,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
78,1997,2.6458,2,-9999,-9999,1.5014,-9999,-7.3342,0.000016,-9999,-9999,-9999,-9999,78,1997,2,15.5,-8.6,50.439,0.0651,-9999,0.5,362.18,0,78,1997,80,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
79,1997,2.6667,2,-9999,-9999,1.387,-9999,-7.3342,0,-9999,-9999,-9999,-9999,79,1997,2,16,-8.9,13.158,0.0647,-9999,0.5,362.18,0,79,1997,81,81,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
80,1997,2.6875,2,-9999,-9999,1.387,-9999,-7.3342,0,-9999,-9999,-9999,-9999,80,1997,2,16.5,-9,0,0.0642,-9999,0.5,362.18,0,80,1997,82,82,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
81,1997,2.7083,2,-9999,-9999,1.387,-9999,-7.3342,0,-9999,-9999,-9999,-9999,81,1997,2,17,-9,0,0.0638,-9999,0.5,362.18,0,81,1997,83,83,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
82,1997,2.7292,2,-9999,-9999,1.387,-9999,-7.3342,0,-9999,-9999,-9999,-9999,82,1997,2,17.5,-8.7,0,0.0634,-9999,0.5,362.18,0,82,1997,84,84,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
83,1997,2.75,2,-9999,-9999,1.387,-9999,-7.3342,0,-9999,-9999,-9999,-9999,83,1997,2,18,-8.5,0,0.0629,-9999,0.5,362.18,0,83,1997,85,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
84,1997,2.7708,2,-9999,-9999,1.387,-9999,-7.3342,0,-9999,-9999,-9999,-9999,84,1997,2,18.5,-8.3,0,0.0625,-9999,0.5,362.18,0,84,1997,86,86,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
85,1997,2.7917,2,-9999,-9999,1.387,-9999,-7.3342,0,-9999,-9999,-9999,-9999,85,1997,2,19,-8.1,0,0.0631,-9999,0.5,362.18,0,85,1997,87,87,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
86,1997,2.8125,2,-9999,-9999,1.387,-9999,-7.3342,0,-9999,-9999,-9999,-9999,86,1997,2,19.5,-8.1,0,0.0637,-9999,0.5,362.18,0,86,1997,88,88,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
87,1997,2.8333,2,-9999,-9999,1.387,-9999,-7.3342,0,-9999,-9999,-9999,-9999,87,1997,2,20,-8.2,0,0.0643,-9999,0.5,362.18,0,87,1997,89,89,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
88,1997,2.8542,2,-9999,-9999,1.387,-9999,-7.3342,0,-9999,-9999,-9999,-9999,88,1997,2,20.5,-8.2,0,0.0649,-9999,0.5,362.18,0,88,1997,90,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
89,1997,2.875,2,-9999,-9999,1.387,-9999,-7.3342,0,-9999,-9999,-9999,-9999,89,1997,2,21,-8.1,0,0.0654,-9999,0.5,362.18,0,89,1997,91,91,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
90,1997,2.8958,2,-9999,-9999,1.387,-9999,-7.3342,0,-9999,-9999,-9999,-9999,90,1997,2,21.5,-8.1,0,0.066,-9999,0.5,362.18,0,90,1997,92,92,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
91,1997,2.9167,2,-9999,-9999,1.387,-9999,-7.3342,0,-9999,-9999,-9999,-9999,91,1997,2,22,-8.2,0,0.0666,-9999,0.5,362.18,0,91,1997,93,93,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
92,1997,2.9375,2,-9999,-9999,1.387,-9999,-7.3342,0,-9999,-9999,-9999,-9999,92,1997,2,22.5,-8.2,0,0.0672,-9999,0.5,362.18,0,92,1997,94,94,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
93,1997,2.9583,2,-9999,-9999,1.387,-9999,-7.3342,0,-9999,-9999,-9999,-9999,93,1997,2,23,-8.2,0,0.0678,-9999,0.5,362.18,0,93,1997,95,95,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
94,1997,2.9792,2,-9999,-9999,1.387,-9999,-7.3342,0,-9999,-9999,-9999,-9999,94,1997,2,23.5,-8.1,0,0.0684,-9999,0.5,362.18,0,94,1997,96,96,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
95,1997,3,2,-9999,-9999,1.387,-9999,-7.3342,0,-9999,-9999,-9999,-9999,95,1997,2,24,-8,0,0.069,-9999,0.5,362.18,0,95,1997,97,97,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
96,1997,3.0208,3,-9999,-9999,1.387,-9999,-7.3342,0,-9999,-9999,-9999,-9999,96,1997,3,0.5,-7.8,0,0.0696,-9999,0.5,362.18,0,96,1997,98,98,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
97,1997,3.0417,3,-9999,-9999,1.387,-9999,-7.3342,0,-9999,-9999,-9999,-9999,97,1997,3,1,-7.7,0,0.0694,-9999,0.5,362.18,0,97,1997,99,99,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
98,1997,3.0625,3,-9999,-9999,1.387,-9999,-7.3342,0.000155,-9999,-9999,-9999,-9999,98,1997,3,1.5,-7.7,0,0.0693,-9999,0.5,362.18,0,98,1997,100,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
99,1997,3.0833,3,-9999,-9999,1.387,-9999,-7.3342,0.000151,-9999,-9999,-9999,-9999,99,1997,3,2,-7.8,0,0.0691,-9999,0.5,362.18,0,99,1997,101,101,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
